spot_cd,spot_nm,rating_amt,review_cnt
20231008001,참치스토리,-1.0,999
20231008002,이사공양고기자리 강남본점,-1.0,138
20231008003,떡도리탕 강남본점,4.47,999
20231008004,호보식당,4.66,999
20231008005,옥된장 역삼점,-1.0,422
20231008006,다몽집 신논현본점,4.69,999
20231008007,봉우화로,4.4,999
20231008008,신동궁감자탕 역삼직영점,4.31,999
20231008009,알부자,4.38,999
20231008010,강남 곱,-1.0,999
20231008011,농민백암순대,4.51,999
20231008012,강남진해장,4.35,999
20231008013,임병주산동칼국수,4.35,999
20231008014,무월식탁,4.3,999
20231008015,조양관한정식,4.6,999
20231008016,유니네 고깃간,-1.0,999
20231008017,한우부티크 강남점,-1.0,67
20231008018,화기애애,4.65,999
20231008019,장인닭갈비 강남점,4.29,999
20231008020,더막창스,4.75,999
20231008021,을밀대 강남점,4.31,999
20231008022,육품,4.42,720
20231008023,청담등심,4.66,397
20231008024,60년전통신촌황소곱창 강남역직영점,4.6,999
20231008025,강남명전,4.31,999
20231008026,곱창고 강남역점,4.56,999
20231008027,시골야채된장,4.3,999
20231008028,청간막국수,-1.0,304
20231008029,진구곱창,-1.0,999
20231008030,노랑저고리,4.35,999
20231008031,청류벽,4.25,999
20231008032,청계숲양대창,4.5,999
20231008033,봉우이층집,4.57,999
20231008034,자매수산,4.3,815
20231008035,고기꾼김춘배 강남점,4.47,999
20231008036,쭈꾸미랩소디 강남점,-1.0,999
20231008037,이춘복참치&스시 강남점,4.29,999
20231008038,강남교자 본점,4.36,999
20231008039,백억하누 강남본점,4.54,999
20231008040,가가솥밥 강남점,-1.0,999
20231008041,참치공방 강남점,4.3,999
20231008042,떠빱,4.79,999
20231008043,대진도원참치 강남역점,-1.0,999
20231008044,칸나닭집,4.61,510
20231008045,동두천솥뚜껑삼겹살 강남역점,4.35,999
20231008046,돈비고고,-1.0,330
20231008047,이사공양고기자리 강남본점,-1.0,138
20231008048,60년전통신촌황소곱창 강남역직영점,4.6,999
20231008049,워너비대구,-1.0,999
20231008050,정통집 강남점,4.25,931
20231008051,도툼횟집,4.43,441
20231008052,교대이층집 강남역점,4.42,817
20231008053,청년감자탕 강남역점,-1.0,961
20231008054,세광양대창 강남역중앙점,4.47,902
